Topic,Count,Name,Representation,Representative_Docs
241,2,241_activating_unobtrusive_technology_alarm,"['activating', 'unobtrusive', 'technology', 'alarm', 'capable', 'must', 'time', 'user', 'need', 'monitoring']","['lack of technology for unobtrusive monitoring', 'user must be capable of activating the alarm in time of need']"
242,2,242_localization_travels_then_base,"['localization', 'travels', 'then', 'base', 'becomes', 'transmitter', 'unit', 'far', 'remote', 'too']","['lack of real time localization', 'limited in that if a patient travels too far from the base unit, then the remote transmitter becomes out of range']"
243,2,243_becoming_effort_incapacitated_significant,"['becoming', 'effort', 'incapacitated', 'significant', 'get', 'caregiver', 'unable', 'help', 'from', 'and']","['significant effort from the caregiver', 'becoming incapacitated and unable to get help']"
244,2,244_reactions_drug_adrs_adverse,"['reactions', 'drug', 'adrs', 'adverse', '', '', '', '', '', '']","['adverse drug reactions', 'adverse drug reactions (adrs)']"
245,2,245_bent_waist_understand_where,"['bent', 'waist', 'understand', 'where', 'typically', 'space', 'posture', 'body', 'ability', 'is']","[""ability to understand where one's body is in space"", ""user's posture is typically bent at the waist""]"
246,2,246_precautions_contraindications_diminished_safety,"['precautions', 'contraindications', 'diminished', 'safety', 'medical', 'patient', 'and', '', '', '']","['diminished patient safety', 'medical precautions and contraindications']"
247,2,247_lumbago_larceny__,"['lumbago', 'larceny', '', '', '', '', '', '', '', '']","['larceny', 'lumbago']"
248,2,248_infecundity_robbery_severe_,"['infecundity', 'robbery', 'severe', '', '', '', '', '', '', '']","['robbery', 'severe infecundity']"
249,2,249_sitting_positions_changing_lying,"['sitting', 'positions', 'changing', 'lying', 'posture', 'between', 'standing', 'moving', 'person', 'from']","['moving between sitting and standing positions', 'changing posture of a person from sitting to lying']"
250,2,250_dignity_built_confidence_own,"['dignity', 'built', 'confidence', 'own', 'provide', 'unable', 'needs', 'patients', 'their', 'be']","['patients unable to provide for their own care', ""patient's dignity and confidence needs to be built""]"
251,2,251_recline_item_seating_sit,"['recline', 'item', 'seating', 'sit', 'infirm', 'furniture', 'rise', 'assisting', 'another', 'down']","['difficulty to sit down on an item of seating furniture', 'assisting infirm people to rise from and recline to a sitting position without help of another person']"
252,2,252_tub_hot_similar_bath,"['tub', 'hot', 'similar', 'bath', 'situations', 'out', 'other', 'getting', 'difficulty', 'get']","['difficulty for a patient to get in and out of a bath, hot tub, or other similar situations', 'difficulty getting in and out of a bath, hot tub, or other similar situations']"
253,2,253_weak_limbs_leg_strength,"['weak', 'limbs', 'leg', 'strength', 'conditions', 'of', '', '', '', '']","['weak leg strength', 'conditions of weak limbs']"
254,2,254_devastating_professional_toll_caregivers,"['devastating', 'professional', 'toll', 'caregivers', 'caregiver', 'expensive', 'on', '', '', '']","['expensive professional caregiver', 'devastating toll on caregivers']"
255,2,255_three_top_causes_40,"['three', 'top', 'causes', '40', 'admissions', 'hospital', 'death', 'elderly', 'one', 'people']","['40% of hospital admissions for elderly', 'one of the top three causes of death in elderly people']"
256,2,256_approaches_encounters_anything_terrain,"['approaches', 'encounters', 'anything', 'terrain', 'substantial', 'surfaces', 'limit', 'typical', 'further', 'walkers']","['typical approaches further limit the terrain one may move over', 'substantial limitations to such walkers when the user encounters anything other than even surfaces']"
257,2,257_sizable_smaller_families_caretakers,"['sizable', 'smaller', 'families', 'caretakers', 'near', 'longer', 'assist', 'another', 'challenges', 'living']","['challenges as families are often no longer living near one another', 'difficult for smaller caretakers to assist more sizable individuals']"
258,2,258_event_security_safety_related,"['event', 'security', 'safety', 'related', 'health', 'or', 'and', '', '', '']","['health, safety, and/or security related event', 'health, safety, and/or security related event']"
