Document,Topic,Max_Probability
low pregnancy rates with gnrh antagonists,-1,0.04483332857141418
need to hire home health care,0,1.0
user's posture is typically bent at the waist,26,0.44099365694275505
record specific values only up to the alarm,24,0.28885333745444675
rapid emergency response following a vehicle crash,8,0.36784690628981515
road safety requirements,14,0.09820921881229602
60% of seniors experiencing at least one challenge or difficulty with a basic activity or limitations with complex activities,4,0.21973489020320405
genetic factors,17,0.2492007792661366
uterine pathologies,9,1.0
total sensitivity,-1,0.020735410300621576
global development delay,22,0.06992488686290116
some devices not being portable,-1,0.10087885990638441
nearly $48 billion in annual costs result from unnecessary medication-induced hospitalization,28,0.2193614591980327
dangerous when used to traverse any more challenging terrain,44,0.08438965952309327
predominately manual devices requiring the assistance of a second person,6,0.019935762975529993
adverse weather conditions,17,1.0
80 percent of people 65-plus are not willing to pay more than $50 a month for the technology,4,0.1381526831901522
suppression of granulosa cell proliferation,-1,0.08170785352265804
disadvantages and limitations of standard devices,3,1.0
complicated and expensive devices,3,0.18120710714366334
confined to the chair,27,0.11063780116742028
low birth rate,33,1.0
senior adults require this type of home exercise more than younger adults,4,0.19315272864145638
long time periods to conception,12,0.050752472896472736
limited use in a prison setting,50,0.09381476203595239
hip or knee related mobility problems,36,0.07640457276146823
physical issues from sitting for long periods of time,41,0.12841273935659323
low demand for autonomous vehicle usage,-1,0.018402211061916033
altered expression of adhesive molecules,40,0.034244588583817626
annoy the user,18,1.0
success rates are low,-1,0.06187790929788211
unwanted bending,-1,0.025538402478971517
psychologically painful process for patients,-1,0.01995274388143087
difficult for smaller caretakers to assist more sizable individuals,6,0.06472657982399728
very little space between the user and the care giver,0,1.0
difficulty in transporting the lifts,20,1.0
increase in the amount of stress acting on the spine,-1,0.05445134434609931
lack of relevant and up-to-date information,3,1.0
age,4,0.1464031813107792
undue expense/strain on the emergency response system,8,0.2199565669926817
complex signal processing,-1,0.05027282585911744
pain,-1,0.0675266082451946
subfertility,12,1.0
increased size of the non-foldable frame for storage,-1,0.1600688012878676
degenerative conditions resulting from aging or disease,-1,0.007696705286421084
need to monitor and communicate with a person that desires to live as independently as possible,5,0.2584674791789976
emotional toll on hopeful and expectant parents,39,1.0
elderly user or a user recovering from surgery may be weak,-1,0.04249655381050872
crimes,13,0.14613161875537403
damage to users due to poor ergonomics,-1,0.004928677477244633
ability to handle many situations by themselves is or will become substantially attenuated,-1,0.04373207914980626
risk of low back pain,-1,0.07277265069100501
limited means of delivering emergency information,8,1.0
losing control of the device,37,0.11232549252580411
paralysis limitations from neurological conditions,10,1.0
require a great deal of manual dexterity and strength to open and close,-1,0.035816606540103255
adding more components to a system,54,0.10033748121963111
"health, safety, and/or security related event",-1,0.03187645976785507
false positive fall events,2,1.0
accuracy of the estimated position of the beaconing device,-1,0.0886479593992371
"one-time, push-button devices",3,0.14371931648035283
increased mobility of the workforce,34,0.2690013914976048
surgical intervention associated with age,-1,0.044398611283163386
little or no added support,-1,0.021074983060925187
frequent blood sampling and ultrasound monitoring,5,0.2223482553176743
patient instability,-1,0.03406743898737282
inability to easily rise back up,-1,0.01612548292626894
inconvenient to move the patient,52,1.0
vulnerable individuals,50,0.2007842030815521
constant processing and sensing requires considerable power,48,0.19147445659697213
87% of all fractures,59,1.0
transfer task-related musculoskeletal injuries,67,0.2181303228593256
limitations on a passage of the movement,21,0.04209024877825855
additional attendants to perform the lifting and handling,-1,0.017654260654344063
current walkers may often require several nurses or physical assistance personnel,25,0.022514050371617196
numerous errors and omissions,38,1.0
supervision of health status,-1,0.04485704774695526
unsuccessful attempts to establish pregnancy,-1,0.12177762680330835
individual must also be capable of using the device to call for help,6,0.03424823592267988
limits monitoring to just the instrumented areas,5,1.0
loss of coordination,-1,0.02590018431903612
disadvantage of inconvenience that might happen to the carer moving the movable lift device,20,1.0
design is large,29,1.0
stigmatizing character attached with the use of these,-1,0.029261408732736423
agent cannot lift a leg to step forward,-1,0.02979007903924041
traditional walking assist devices do not adequately address a transitional phase,31,0.4227296197517651
recurrent spontaneous abortion,33,0.20103789485936915
lack of technology for unobtrusive monitoring,5,0.2065638904599543
temporary functional unavailability,-1,0.015304257787594491
insufficient modulation of the endometrial receptivity,9,1.0
"senior adults are more susceptible to a variety of conditions including osteoporosis, falls, fractures and balance control problems",-1,0.03675794285051753
severe effects on the carer,0,0.07965451502767731
essential services being incorrectly deployed,-1,0.02301694024915305
unable to assist or only partially assist in their own care,6,0.07060873841638067
shear of the skin,-1,0.04624503256381353
wearable devices suffer from limited acceptance and use,45,0.23609880505020273
removal from tightly controlled culture environments during manual assessments,-1,0.036553507561718344
frequent failure of embryos to grow and develop properly in vitro,7,0.14722900593525956
ethical and psychologically traumatic implications,43,0.08429167255603717
does not analyze user's patterns,18,0.02985662813931471
high effort to prepare the pillboxes for use,1,1.0
need for a wheelchair lift assist mechanism easily fit to an existing wheelchair or armchair,57,1.0
forgetfulness,10,0.09337362129142075
incapable of eating a meal in a normal fashion,58,1.0
"large, heavy, cumbersome, and costly assistive devices",-1,0.018233313011712913
unable to reach a telephone,23,1.0
orthopedic procedures,36,0.1421712950086589
development of a limp or abnormal gait,55,0.18572580325773982
longer a person had to spend injured and without help,-1,0.019520638474706874
deconditioning from cardio-pulmonary issues,-1,0.014427107394362674
viability grading difficult,3,0.21963343800382787
driver error,38,0.11785107430736748
period of isolation and loneliness for the elderly patient,16,0.08711867732795635
require active participation from a user,-1,0.030054877409565636
non-movement,21,0.0394276285944248
multiple cycles of ivf required,42,0.7960728653926514
associated health cost of multiple pregnancies,11,0.1044565885864292
uneasy to store or transfer,68,1.0
diminished ability to store and retrieve information into memory,10,1.0
low oxygen saturation in the blood,-1,0.051739242132744105
multiple gestations have well-documented adverse outcomes for both the mother and fetuses,11,0.4133892373026012
most devices operate on electric or battery power,37,0.33827969466571667
shuffling movement during walking,31,0.11071104536960426
heart disease,32,0.061203518820333314
pelvic fracture,59,1.0
infertility due to advanced maternal age,12,0.2009644019236196
life expectancy of older people continues to rise,4,0.3754376335473879
people who are too weak to support their own weight in standing,70,1.0
limp,-1,0.03753217365196639
compelled to move from their home to an assisted-living facility,0,0.1254824971286976
stumbling,2,0.1778362266133791
only one style or type of alert is initiated,24,0.2596328759251644
the bandwidth of the light source limits the perceived depth of the image,35,1.0
impractical in both cost and space,29,0.06053592289563734
terror attacks,-1,0.03839532040752149
high levels of caretaker anxiety,-1,0.01992284506447769
hinder suitability for use in areas with limited floor space,53,1.0
overload of the muscles and/or back,30,1.0
considerable power draw on the device's battery source,37,1.0
average household simply cannot accommodate nor afford a lift,20,0.06317611893187494
accidental falls from chairs,2,1.0
lack of proper working technique and/or equipment,-1,0.0051208134439148486
various types of assistance or supportive care is needed,6,0.03529668494493317
rape,13,0.19589822065040016
coarse data generated by passive environmental sensors,48,1.0
unoccupied autonomous vehicles,14,0.01734206261802759
loneliness,16,1.0
medical conditions that hinder or inhibit peoples' natural ambulatory abilities,-1,0.04886253232868396
patient anxiety,-1,0.021844538099251482
murder,13,0.12030057076392005
increased risk of preterm delivery,11,0.11063784548409611
"limited to non-ambulatory, invalid, or bed-ridden patient",52,1.0
phone networks congested into uselessness,71,1.0
difficulty to enforce restraining orders,-1,0.08113420312357404
users require advanced mobility that allows them to both sit and stand,-1,0.10485417528244191
significant hazard to life,61,1.0
not configured to affix accessories in a safe and easy manner,18,0.020814313449453416
emergent health situations,72,1.0
high inter- and intra-observer variations,-1,0.016131943558270682
blocked or missing tubes,-1,0.06839504972395806
lack of mobility further compromises their health,34,1.0
public safety incidents,14,0.018247898965029145
physical bullying in the schoolyard,13,0.337486048208625
difficult to install in many locations,-1,0.08222350239942858
home-based systems,0,0.04691107781138827
need for a method and apparatus for improving an emergency psap operator's situational awareness,8,1.0
impotence,-1,0.020069875576382096
remembering which medication is the correct one to take at the proper time,1,0.5030613119429751
walking frames tend to be relatively bulky,31,1.0
significant hazard to property,61,1.0
inability to accurately detect whether a resident within a monitored home has been unusually inactive or is instead away from the home,0,0.03298591532516697
late admission increases the risk of pneumonia,56,0.10451930149337202
mobility problems in the elderly,34,0.5561778030529358
limited life and unknown strength condition of slings,-1,0.015131238966643519
failure to respond to the initial doses of fsh,9,1.0
low probability of an incident,8,0.053938012930895514
externally found data set is not transmitted,-1,0.02428956403281209
existing systems are expensive,-1,0.04021055356384938
costs and disadvantages of personal assistance monitoring systems,5,0.19071529171061039
dysmenorrhea,-1,0.022410031782335617
devices require the user to hold a handle with each hand,-1,0.008497598973030238
parent lacks the technological sophistication,-1,0.05031078314290655
"limit access of users to only places and transportation that have ramps, lifts, or elevators",18,0.0644328857914486
health status decline,-1,0.13377670313423334
lack of scientific validity in brain training,10,0.4467302514623233
growing problem within the population,4,0.19026982297310563
vulnerable position of caregiver's spine,-1,0.008342042497851171
tormenting,13,0.27632002273069367
not able to be fixed to the wall or to any mobile transport carrier,21,0.12849540232374188
most pedometers do not have the ability to record and store data,-1,0.02308516442191587
room for improvement,-1,0.027806922148371528
no supervision in times of accident or emergency,5,0.0312511858636466
"heavy, stationary equipment",47,1.0
victim confused and/or scared,50,1.0
medication side effects,1,0.16062513245902743
need for a device that will maintain continuous ground contact,-1,0.1317356540882236
detect an event only after it has occurred,-1,0.0329630178490908
number of older adults is growing dramatically,4,0.48755337518936154
elderly people often struggle with keeping track of the intake of their medicine,4,0.06867535054210051
ovarian dysfunction,9,0.8164343452437356
need for a system for the home which provides independence across all of the basic life activities,0,0.04510152247792871
prevent an attack from occurring,-1,0.031111910446092298
prompt coping is not possible,69,1.0
current ivf treatment requires that multiple oocytes be harvested,-1,0.13466345467877314
weak correlation between static embryo morphology and ploidy,7,0.43965931340673436
difficulty getting into and out of such chairs,27,0.0762713675385766
abnormal patterns of gene expression in cumulus cells,-1,0.021579491097652597
short and long term memory loss,10,0.2675551714133057
irreversible loss of function,10,0.049707160226848374
"attacker will destroy, confiscate, and/or throw a victim's phone away",-1,0.03348371830288811
aids,56,1.0
necessity of body worn transmitter alert devices,-1,0.023954644260922166
sporadic nature of home visits,0,0.06072797502852856
measuring physical activity may be challenging,19,0.12781709163574873
unduly burdening healthcare costs due to the required first responder calls,8,0.060053732182462655
require specialized care,0,0.273846836350294
not all women qualify for blastocyst transfer,-1,0.05939897206025643
affecting manufacturing costs,15,1.0
significant development and/or performance hurdles remain unaddressed,22,0.06377235785787433
not practical for some people to live a completely independent life,16,0.10608009473972317
structure fires,29,0.15435877562994718
limited ease of entering and exiting the bed,27,0.30996826878792305
rudimentary record keeping functions,5,0.038701916250343506
lack of skilled clinical assessment,10,0.14293990193563225
difficult to deploy and store seats,-1,0.07561727418122063
slower moving pedestrians,14,0.10647396762280582
embarrassing,13,0.14574618411875828
infrastructure breakdown,-1,0.2903571541892368
removing the medications,1,0.33808114726382155
decreased swelling and inflammation of joints,36,0.25778875989381717
storage for this power in battery form adds weight,37,0.1611446293844827
high ovarian response,9,1.0
heat related incidences,-1,0.11574759341378885
many at-home falls occur in tight quarters,2,0.2939790784974466
defects in spermatogenesis,12,0.05337668931998443
extensive resource overhead,22,1.0
limit the suitability of use for many users,18,0.0746112048367899
movement difficulty,21,0.0701843917913771
levels of activity,19,1.0
economic costs to the couple,15,1.0
ease of use,64,1.0
danger of preparation errors,38,0.0615319175418611
throttled networks in times of crisis,71,1.0
upsurge in the aging population,4,1.0
medical and physical infirmities,-1,0.021243547815853844
requiring additional storage space when not in use,-1,0.031121970892789785
current incubator systems may be operated on a ‘set and forget’ basis,7,0.2883870054542425
detection time of the system is also limited by battery capacity,5,0.03871917828763302
social security program is not keeping pace with changes,46,1.0
poor results following freezing and thawing (storage) of such embryos,7,0.6059547791525235
poor joint mobility,-1,0.015087203501348265
individuals fall in large eldercare facilities,2,0.23204911227615954
time constraints,-1,0.011187180960509475
too heavy for manual locomotion,-1,0.026208232076646024
difficulty for children to monitor their wellbeing,39,0.21514356670049406
upper body strain,30,1.0
existing devices lack structural support,-1,0.06356110677395754
transition from the use of parallel bars to the use of a walker,25,0.37416870578376893
difficult to adjust between use on stairs and use on level walkways,44,1.0
obstetrical complications,11,1.0
accuracy to which the positions of the receivers are known,-1,0.022426034451875732
cost to the resulting from patient non-compliance,28,0.03683966641740505
inability to mobilize patients at home,0,0.31055937190703237
emotional stress of caregiving,0,0.437926875973585
reduced body stability,-1,0.018767046533550307
costly and complex health issues,28,0.06474459188836083
limited to tv-trays or smaller surfaces,-1,0.021654377945628904
extra wide abutting surfaces do not always provide sufficient strength for long term use,-1,0.023938658268901878
failure to take a prescribed medication for treatment of diabetes can result in severe health consequences including death,1,0.2353852873651777
traditional telecommunications were stretched and overloaded,71,1.0
burden on other family members or household members,0,0.25426139479700693
provider not being able to complete all of the intended activities,19,0.11962887408711186
abnormal time,-1,0.02175064699363218
"wasting time, money and potentially limiting their availability",22,1.0
crime prevention,13,0.06872036702740264
lack of stability resulting in frequent falls,2,0.21928089797148848
require more technological skill to operate,-1,0.02083865296290779
patient mix ups or misidentification of biological samples,1,0.1426201544044763
almost bed-ridden people,27,0.3882285752144439
indirect and has proven challenging,3,0.09198982793505318
condition requiring immediate attention,-1,0.04720384790292749
current system is based on pedestrian speed that is the norm,14,0.08570323397717577
lower confidence,-1,0.04339578657602654
shortfall in social security trust fund,46,1.0
patients can be immobilized to the point that they become at least temporarily bedridden,52,0.3341456455454435
"monitoring emergency, alarm, climate, or other conditions",24,0.3288472403051358
cumbersome process of managing medication changes,1,0.20977104086326498
adds weight to the frame,-1,0.04513990207335472
relatively immobile individuals,34,0.12380309160878526
irregular uterine bleeding,9,1.0
behavior modification on the part of the elderly individual,4,1.0
not possible to connect equipment short-term,3,1.0
varying degrees of deficiency relating to the instability of the device,-1,0.010533740529010837
high localized pressure stresses on the patient,40,1.0
people are abducted,-1,0.032034333141371725
variability of functional performance,-1,0.029492209161326274
approximately 100 million americans suffer from a chronic condition that may limit their independence and mobility,17,0.047891218673827195
mounting based exclusively on the separate arrangement of a set of independent straps usually generates problems,-1,0.023153381424047156
need for a cost effective means to provide assistance in walking,31,1.0
forgetting to eat,58,1.0
seat raises straight up vertically and lowers straight down vertically,41,1.0
exceptions not covered by conventional systems,3,1.0
may not be found quickly,-1,0.027452772872677694
"125,000 deaths per year caused by non-compliance",28,0.031776881332270523
limited number of staff members,6,1.0
orientation sensing,-1,0.0725508467813607
individuals living by themselves,16,0.11305362136296446
unexpectedly trips over,66,1.0
shear injury to a bed sore,40,0.16780670646071916
in vitro culture environments differ from in vivo environments,7,0.14073413142395688
loss of a vulnerable individual's independence and privacy,-1,0.031285709070266385
financial burden on insurers,15,0.039531344478702345
mobility and ambulation becomes increasingly difficult,34,0.33208487853218965
shock sensor is not triggered,24,0.019593458113360336
increased risk of premature birth,11,0.1717161902397791
"lack of access to news regarding commodity, weather, and political developments",3,0.5646258402852139
supervision of daily activities,5,0.0285755996899725
requirement that the user carry it at all times,18,0.057206935113710736
high attendant social cost,15,0.05344772578748947
intake of daily injectable fertility drugs is uncomfortable and even painful,12,0.07679460728693623
rehabilitation from accidents,63,1.0
"ambient sensors are expensive, invasive, and cumbersome",48,1.0
absence of a combined structure,29,0.13988538042582668
advised to get admitted to nursing homes,0,0.09474371617974127
90% of people who get help within one hour will continue independent living,16,0.05072728489862086
lack of automated messaging service to the informal caregivers,0,0.658804387662383
physical pain and/or damage to the bed-ridden person,27,0.09387400404564362
walking impediment due to weakened muscle resulting from aging,-1,0.039145172487463284
primary or secondary infertility,12,1.0
subsequent related obstetrical pathologies,11,0.08729397574913714
lack of digital radios,3,0.15561718773640212
assisting infirm people to rise from and recline to a sitting position without help of another person,-1,0.013239455268756866
limited assistance by personnel,6,1.0
degradation in their living functions,17,1.0
couples with a very low chance for success,33,0.3287624333305604
transferring disabled persons or dependent elderly persons,68,1.0
injury can occur to the patient during a transfer,-1,0.07445225194078833
injury to persons assisting,60,1.0
drawbacks to existing systems,3,0.11347723446909351
inability to open and access their medications from multi-compartment pillboxes,1,1.0
reduced activities and social interactions,19,1.0
heavy apparatus,47,1.0
not designed to provide adequate suspension for mobility over rough outdoor surfaces,25,0.01350335623314154
biochemical pregnancy rate of 18%,33,1.0
emotional toll negative pregnancy results have on couples,-1,0.12805049154426984
fall of the person who is taken care of,2,0.26039739920085453
failure of the blastocyst to escape from the zona pellucida,-1,0.05687614742224124
threatening the independence of older persons,16,0.0646256253161849
big difficulties doing this by themselves due to reduced strength,70,1.0
requires a lot of outside intervention,6,0.0752622893163052
onset of alzheimer's disease,4,0.02793267465191559
vulnerable individuals not capable of fully looking after themselves,50,1.0
walker may tip backwardly toward the user,25,1.0
number of people in need of emergency response services,8,0.36573742943195703
existing systems typically use lenses that direct an image towards a partially transparent surface,35,0.4812387258246342
interference with sleep or daily activities,19,1.0
lack of shade,-1,0.053142691596517765
step detection,18,0.025879133391606378
persons falling over due to a heart attack,2,0.19798432589655449
need for in-home assistance,6,0.024823868628954925
active process that frequently gets done multiple times in a day,-1,0.012235758859669545
chronic or acute back injuries and pain,-1,0.02742131992846055
speeding,14,0.20978842900784336
shortage of healthcare professionals,0,0.08324469190935287
risk of ohss,-1,0.01842816692082266
growing economic and societal impact of caregiving,0,0.12660358646018025
unnecessary and costly trip to the hospital,28,0.5766669518436719
easy access to information is not available to everyone,3,1.0
difficulty transferring himself from a bed to the chair,27,0.27634017496870317
health related events,72,1.0
conditions which make it difficult or impossible for them to rise from the floor or ground on their own,-1,0.06634538985123706
morbidity and negative outcomes,49,1.0
difficulty with transport of the devices,62,1.0
increased risk of cardiovascular disease,-1,0.04002201013337651
delaying first aid,8,0.05920463489452099
health,72,1.0
monitoring systems of the type used for elderly clients or other challenged clients,5,0.38770366866336037
costly condition,15,1.0
most physically demanding part of using any type of mechanical lift device,20,0.2246635045785468
work-related musculoskeletal disorders (msds),-1,0.01043534050019418
increased loss of hearing,10,0.07051593580698194
injuring that person,60,1.0
need to provide a seating apparatus,-1,0.0675324127992669
complicated construction,29,0.2277529567470748
time consuming,22,1.0
severe infecundity,-1,0.09886719660666006
assisted mobility and transfer of people,68,0.20412492082426187
lift injuries,-1,0.03774243771781671
unacceptable and dangerous chafing of the skin,-1,0.03344864645265974
known portable monitors are not specifically designed to provide an elderly/infirm individual that desires a significant degree of independence,5,0.1632733655366221
acuteness of the person's condition,32,1.0
no configuration is available for a standard designed wheelchair,57,1.0
crutch may prove difficult to use and to maintain their balance,-1,0.022556275446922604
geriatric trauma patients,-1,0.04440147146218395
hazardous material accidents,-1,0.020494480378952417
uncertainty whether the social security program will continue to remain viable,46,0.526694878011119
related cognitive disorders,10,0.15302164552187905
"ill, elderly, or infirm persons typically desire to remain at home and continue to live as independently as possible",16,0.05799334310088047
emergency operator is not proactively notified of location updates,-1,0.025011318859246564
operating inconveniently,18,1.0
exposes the likely immuno-compromised patient to potential contagious diseases,56,0.33518569173547763
individuals with special needs or higher risk of needing assistance,6,0.1337190922523817
pathological balance and gait disorders,55,1.0
injuries to the patient resulting from falling off the side of the bed,2,0.06373163265557709
musculoskeletal disorders (msds) in caregivers,-1,0.008930163669193714
locating an emergency caller,23,0.26019576723767174
sling may exert uncomfortable pressure on various portions of the individual's body,-1,0.01973190886880404
impractical from a space-usage perspective,29,0.04512873468960146
increased complexity in covering all possible contexts,3,0.1623251650585901
adverse effects of gnrh agonists,9,1.0
cognitive and sometimes physical challenges of following multiple medication regimens,1,0.30985762016506574
risk of losing one of the components,54,0.3638841866707184
do not have a height control function to adjust for users of different heights,53,0.2297904104328269
compromising the safety of the bed,27,1.0
moving from one surface to another,21,1.0
knee bending,36,0.25337160552030996
deteriorate with age,4,0.17606492084535244
measuring ecg is inconvenient for long-term monitoring,5,0.2061873011860414
unnatural position leading to further physical complications,26,1.0
tiring walking training,31,1.0
increased autoantibodies,-1,0.05621091921937171
physical and mental obstacles being faced by injured individuals,60,1.0
speed of motion or walking speed of a pedestrian,14,0.040909524133749126
fatigue,-1,0.006228730878492471
costly and heavy support arrangements,-1,0.03412293175483553
providing proper and efficient care for individuals,0,0.4299814560793925
different care needs,0,1.0
"need for a device, system and method of use that addresses the various disadvantages associated with currently victim-assisting technology",6,0.018677460657228792
strong aversion,-1,0.023070557378717587
cerebral palsy,10,1.0
discomfort or fear from being stigmatised,-1,0.021350742826100097
physical modification required to the home,0,0.14365260542333097
common hip and leg impairments,36,0.07504605321910737
ability to understand where one's body is in space,-1,0.06785297979451799
leg is moved backward,-1,0.026240727017079947
single culture medium,-1,0.02403499185446404
human activity analysis from video,19,0.15911107643178785
patients are injecting themselves,-1,0.05366109743011808
information overload for the monitoring user,5,0.14586945781906374
awkward position under compression,26,1.0
injury or even death to the lost person,-1,0.06742155830198615
neurological disorders associated with old-age,10,0.036915149592368676
loss of smell,-1,0.037082967886165386
higher risk of being alone,16,1.0
outdated alert systems,24,1.0
decrease in muscle mass,30,1.0
need for assistance,6,1.0
cumbersome devices that restrain movements,47,1.0
difficult to accomplish arms-forward movement,21,0.07077924342211192
double dosing,1,1.0
emotionally upsetting if they perceive they are no longer trusted to be able to care for themselves,0,0.3004277048765084
large,29,1.0
low emergency response capability,8,1.0
"body stops producing enough joint nourishing, shock absorbing synovial fluid",-1,0.06644092433419677
manual monitoring by human supervision is costly,5,0.19872850814254336
ameliorating pregnancy conditions,11,0.16627533092176006
"limits their use to large, unobstructed spaces",-1,0.04309815278148355
danger of an overdose,-1,0.11536198489175224
increased stress level of the subject elderly person,4,0.05687426095245221
criteria do not truly predict the competence of an embryo,7,0.832205143264858
untimely rescue,8,0.13000596195141467
limited understanding in the art of basic embryo development,7,0.7113941320555154
expensive transportation modes,62,1.0
improper washing and drying environments,-1,0.07168676508956516
lengthy time between the start of the medical emergency and its discovery,8,1.0
difficulty or impossible for the individual to safely get back into bed or the chair,27,1.0
device is not height adjustable for accommodating different sized users,53,1.0
mortality,49,1.0
coronary events,-1,0.26453484637065516
medical precautions and contraindications,-1,0.021828265504939843
wandering,66,1.0
balance and stability issues,-1,0.024438553296221407
elders neglect re-wearing when getting out of bed or bath,4,1.0
69% of ivf cycles do not result in pregnancy,42,0.4803959751673376
canvas sling tends to take more than one assistant to operate,-1,0.0103560350019025
individuals forget to wear the sensor,24,0.028915367835460108
design has not substantially changed in the last thirty years,29,0.21988956503593618
not wearing seatbelts,-1,0.01913054912923027
decreased egg production,7,0.023398072937355012
time-delayed manner of smartphone use,-1,0.011441006572633201
risk of buckling of the knee joint,36,1.0
recover more slowly than their younger brethren,4,0.23491787850912804
physiological status begins to dramatically degrade with time,17,0.11349418092916351
reproductive wastage,12,0.1484167243322204
power consumption of the subject-worn device will be significant,45,0.2985998684661638
