representative,synonym,group_size
human activity analysis from video,human activity analysis from video,1
human assistance can be costly,human assistance can be costly,3
human assistance can be costly,human assistance can be painful,3
human assistance can be costly,human assistance can be sometimes unavailable,3
human casualties,human casualties,1
human pregnancy success rates range from about 25% to 35%,human pregnancy success rates range from about 25% to 35%,1
human reproduction is failing,human reproduction is failing,2
human reproduction is failing,reproductive failure,2
hypertensive disorders of pregnancy,hypertensive disorders of pregnancy,1
hypothermia,hypothermia,1
negative impact on embryo quality,identified risk for embryo damage,2
negative impact on embryo quality,negative impact on embryo quality,2
identifying deteriorating conditions,identifying deteriorating conditions,1
"if the user is unable to activate the input, no assistance is summoned","if the user is unable to activate the input, no assistance is summoned",2
"if the user is unable to activate the input, no assistance is summoned",users to manually activate an input to summon assistance,2
"ill, elderly, or infirm persons typically desire to remain at home and continue to live as independently as possible","ill, elderly, or infirm persons typically desire to remain at home and continue to live as independently as possible",1
illegal in certain countries,illegal in certain countries,1
immature eggs (oocytes),immature eggs (oocytes),2
immature eggs (oocytes),inability to produce fully-matured eggs,2
immediate detection and alerting of care providers on change in the vital activities of the elderly patients is required,immediate detection and alerting of care providers on change in the vital activities of the elderly patients is required,2
immediate detection and alerting of care providers on change in the vital activities of the elderly patients is required,most senior citizens live alone and require constant monitoring of vital activities for timely detection of abnormalities in health,2
immunological factors,immunological factors,1
impaired fecundity,impaired fecundity,2
impaired fecundity,reduced ability to have offspring,2
impairment of tactile senses,impairment of tactile senses,1
impotence,impotence,1
impractical from a space-usage perspective,impractical from a space-usage perspective,2
impractical from a space-usage perspective,impractical in both cost and space,2
"impractical, complex and/or inconvenient structures","impractical, complex and/or inconvenient structures",1
imprinting errors,imprinting errors,1
improper washing and drying environments,improper washing and drying environments,1
improved systems and methods for establishing patterns of social behavior for users of mobile devices are desired,improved systems and methods for establishing patterns of social behavior for users of mobile devices are desired,1
in vitro culture environments differ from in vivo environments,in vitro culture environments differ from in vivo environments,1
inability or reduced ability to have children,inability or reduced ability to have children,1
inability to accurately detect whether a resident within a monitored home has been unusually inactive or is instead away from the home,inability to accurately detect whether a resident within a monitored home has been unusually inactive or is instead away from the home,1
inability to accurately determine the geographical origin of a voip-based emergency call,inability to accurately determine the geographical origin of a voip-based emergency call,1
inability to ascend stairs safely,inability to ascend stairs safely,2
inability to ascend stairs safely,inability to traverse a set of stairs,2
inability to ascertain geographical location,inability to ascertain geographical location,1
inability to balance and hold their upper torso upright,inability to balance and hold their upper torso upright,2
inability to balance and hold their upper torso upright,unable to adequately control their balance,2
inability to be in a standing position when interacting with other individuals,inability to be in a standing position when interacting with other individuals,1
inability to conduct the imaging and evaluation in an automated fashion,inability to conduct the imaging and evaluation in an automated fashion,1
inability to initiate basic weight bearing and muscle rebuilding,inability to initiate basic weight bearing and muscle rebuilding,2
inability to initiate basic weight bearing and muscle rebuilding,lack of weight-bearing muscle use,2
inability to mobilize patients at home,inability to mobilize patients at home,1
inability to open and access their medications from multi-compartment pillboxes,inability to open and access their medications from multi-compartment pillboxes,1
inability to provide early warning,inability to provide early warning,2
inability to provide early warning,no effective warning,2
inability to trigger emergency button,inability to trigger emergency button,1
inaccuracies which introduce uncertainty in current drug administration monitoring systems,inaccuracies which introduce uncertainty in current drug administration monitoring systems,1
inaccurate or improper handling and lifting of a patient by caregivers,inaccurate or improper handling and lifting of a patient by caregivers,3
inaccurate or improper handling and lifting of a patient by caregivers,inaccurate or improper handling and lifting of an individual by caregivers,3
inaccurate or improper handling and lifting of a patient by caregivers,workplace injury as a result of lifting and moving patients,3
inactivity caused by general depression,inactivity caused by general depression,1
limited means of delivering emergency information,inadequate emergency communications capabilities,2
limited means of delivering emergency information,limited means of delivering emergency information,2
inadequate muscles and resilience of the body,inadequate muscles and resilience of the body,1
inadequate prior art in providing a seat or sling harness,inadequate prior art in providing a seat or sling harness,1
inappropriate phone line within a psap,inappropriate phone line within a psap,1
incapable of eating a meal in a normal fashion,incapable of eating a meal in a normal fashion,1
incapable of normal pregnancy,incapable of normal pregnancy,1
incapacitated or otherwise unable to move,incapacitated or otherwise unable to move,1
inconsistent across multiple caregivers,inconsistent across multiple caregivers,1
inconsistent gait,inconsistent gait,2
inconsistent gait,uneven gait,2
inconsistent results,inconsistent results,1
incontinence needs,incontinence needs,1
inconvenience and pain from joint problems,inconvenience and pain from joint problems,1
inconvenience caused by wearable protection devices,inconvenience caused by wearable protection devices,1
operating inconveniently,inconvenient to the user,2
operating inconveniently,operating inconveniently,2
inconveniently positioned handles,inconveniently positioned handles,1
increase in the amount of stress acting on the spine,increase in the amount of stress acting on the spine,1
increase in the prevalence of obesity,increase in the prevalence of obesity,1
risk of multiple births,increase the number of multiple pregnancies,5
risk of multiple births,multiple embryo transfer increases the chance of multiple pregnancies,5
risk of multiple births,risk of multiple births,5
risk of multiple births,risk of multiple pregnancy,5
risk of multiple births,risk of potentially dangerous multiple births,5
increased autoantibodies,increased autoantibodies,1
increased chromosome error rate,increased chromosome error rate,1
increased complexity in covering all possible contexts,increased complexity in covering all possible contexts,1
increased cost of care of disabled persons,increased cost of care of disabled persons,1
increased disease and disability rates,increased disease and disability rates,1
ovarian hyperstimulation syndrome,increased incidence of ovarian hyperstimulation syndrome,6
ovarian hyperstimulation syndrome,ovarian hyperstimulation syndrome,6
ovarian hyperstimulation syndrome,ovarian hyperstimulation syndrome (ohss),6
ovarian hyperstimulation syndrome,ovarian hyperstimulation syndromes,6
ovarian hyperstimulation syndrome,risk of achieving ovarian hyper stimulation syndrome (ohss),6
ovarian hyperstimulation syndrome,risk of ohss,6
increased loss of hearing,increased loss of hearing,1
increased material risk of pre-eclampsia,increased material risk of pre-eclampsia,1
increased mobility of the workforce,increased mobility of the workforce,1
increased number of mobility impaired people living at home,increased number of mobility impaired people living at home,2
increased number of mobility impaired people living at home,increasing number of mobility compromised patients,2
increased patient anxiety,increased patient anxiety,2
increased patient anxiety,patient anxiety,2
increased rehabilitation time,increased rehabilitation time,1
increased risk of cardiovascular disease,increased risk of cardiovascular disease,1
increased risk of fatal accidents without the walking instrument,increased risk of fatal accidents without the walking instrument,1
increased risk of harm,increased risk of harm,1
increased size of the non-foldable frame for storage,increased size of the non-foldable frame for storage,1
increased stress level of the subject elderly person,increased stress level of the subject elderly person,1
increased suffering from geriatric diseases,increased suffering from geriatric diseases,1
increased use of the medical system,increased use of the medical system,1
increased weight of the transfer device,increased weight of the transfer device,1
increasingly larger population over the age of 65,increasing aging of the world population,2
increasingly larger population over the age of 65,increasingly larger population over the age of 65,2
increasing disabilities associated with pregnancy/delivery,increasing disabilities associated with pregnancy/delivery,1
increasing risks of people failing to notice deterioration in the health of the elderly living alone,increasing risks of people failing to notice deterioration in the health of the elderly living alone,1
increasing the damage from the emergency situation,increasing the damage from the emergency situation,1
indirect and has proven challenging,indirect and has proven challenging,1
individual lives alone,individual lives alone,2
individual lives alone,individuals living by themselves,2
user must be capable of activating the alarm in time of need,individual must also be capable of using the device to call for help,2
user must be capable of activating the alarm in time of need,user must be capable of activating the alarm in time of need,2
individual must recognize that he/she is in a situation in which help is likely to be needed,individual must recognize that he/she is in a situation in which help is likely to be needed,1
safety,individual safety,2
safety,safety,2
individual's capabilities may change from hour to hour,individual's capabilities may change from hour to hour,1
individuals fall in large eldercare facilities,individuals fall in large eldercare facilities,2
individuals fall in large eldercare facilities,individuals fall in their private residences,2
individuals forget to wear the sensor,individuals forget to wear the sensor,1
individuals that have medical conditions that may require fast emergency response,individuals that have medical conditions that may require fast emergency response,1
individuals who are recovering from lower leg surgery,individuals who are recovering from lower leg surgery,2
individuals who are recovering from lower leg surgery,lower leg surgery,2
individuals who have the ability to ambulate but are not capable of going from a sitting to a standing position,individuals who have the ability to ambulate but are not capable of going from a sitting to a standing position,1
individuals with special needs or higher risk of needing assistance,individuals with special needs or higher risk of needing assistance,1
ineffective in a home setting with tight walkways and carpet,ineffective in a home setting with tight walkways and carpet,1
ineffective outside the province of that disease,ineffective outside the province of that disease,1
ineffectively managing the weight transfer to a metal walker,ineffectively managing the weight transfer to a metal walker,1
inefficient assisted reproductive technologies,inefficient assisted reproductive technologies,2
inefficient assisted reproductive technologies,low efficiency of in vitro fertilization (ivf),2
infertile patients,infertile patients,1
infertility due to advanced maternal age,infertility due to advanced maternal age,1
infertility in mammals,infertility in mammals,2
infertility in mammals,subfertility and infertility in mammals,2
older persons or persons with impaired mobility,infirm or aged persons,2
older persons or persons with impaired mobility,older persons or persons with impaired mobility,2
information overload for the monitoring user,information overload for the monitoring user,1
infrastructure breakdown,infrastructure breakdown,1
inherently noisy nature of biological images,inherently noisy nature of biological images,1
injections can be complicated and uncomfortable,injections can be complicated and uncomfortable,1
serious discomfort or injury for the mobility-impaired individual,injure the individual with limited mobility,2
serious discomfort or injury for the mobility-impaired individual,serious discomfort or injury for the mobility-impaired individual,2
injury,injured,2
injury,injury,2
injured knee joints,injured knee joints,1
other injuries,injuries and other similar incidents,5
other injuries,other injuries,5
other injuries,other injury,5
other injuries,serious injuries,5
other injuries,significant injuries,5
injuries more easily than younger adults,injuries more easily than younger adults,1
injuries to caregivers in the home care setting,injuries to caregivers in the home care setting,1
injuries to the patient,injuries to the patient,3
injuries to the patient,injury can occur to the patient during a transfer,3
injuries to the patient,risk of injury to the patient,3
injuries to the patient resulting from falling off the side of the bed,injuries to the patient resulting from falling off the side of the bed,1
injuring that person,injuring that person,2
injuring that person,may injure the person,2
injuring themselves during the transfer,injuring themselves during the transfer,2
injuring themselves during the transfer,may injure themselves in the process,2
injury occurs,injury occurs,3
injury occurs,injury or surgery,3
injury occurs,serious injury,3
injury or even death to the lost person,injury or even death to the lost person,1
injury risk or awkward uncomfortable embraces,injury risk or awkward uncomfortable embraces,1
injury to a user if fingers get caught in the channels,injury to a user if fingers get caught in the channels,1
injury to persons assisting,injury to persons assisting,1
instability of a walker when it is not placed upon a level footing,instability of a walker when it is not placed upon a level footing,2
instability of a walker when it is not placed upon a level footing,stabilizing such walkers can be particularly difficult,2
instability when used with foot surgeries,instability when used with foot surgeries,1
institutionalization,institutionalization,1
insufficient data from practical sensor placements,insufficient data from practical sensor placements,1
insufficient production or secretion of follicle-stimulating hormone,insufficient production or secretion of follicle-stimulating hormone,1
lack of guaranteed retirement income,insufficient retirement benefits,2
lack of guaranteed retirement income,lack of guaranteed retirement income,2
insufficient sperm motility,insufficient sperm motility,1
insufficient support for walking independently,insufficient support for walking independently,3
insufficient support for walking independently,not well adapted to assist the elderly or incapacitated to walk,3
insufficient support for walking independently,unable to support their weight on their legs,3
insurance costs may prohibit live-in caregivers,insurance costs may prohibit live-in caregivers,1
intake of daily injectable fertility drugs is uncomfortable and even painful,intake of daily injectable fertility drugs is uncomfortable and even painful,1
integration of the devices is lacking across the continuum of basic life activities,integration of the devices is lacking across the continuum of basic life activities,1
interfere with the user's legs or feet,interfere with the user's legs or feet,2
interfere with the user's legs or feet,"obstruct the user's full use of their hands, feet or body",2
interference with sleep or daily activities,interference with sleep or daily activities,1
intimidate and confuse many users,intimidate and confuse many users,1
intrusive visits by a caregiver,intrusive visits by a caregiver,1
invalid stigma,invalid stigma,1
invasive biopsy,invasive biopsy,1
invasive technique which requires significant equipment and expertise,invasive technique which requires significant equipment and expertise,1
"invasive, costly, and cumbersome","invasive, costly, and cumbersome",1
irregular uterine bleeding,irregular uterine bleeding,1
irreversible loss of function,irreversible loss of function,1
social isolation,isolation,2
social isolation,social isolation,2
isolation and loneliness for the elderly patient,isolation and loneliness for the elderly patient,2
isolation and loneliness for the elderly patient,period of isolation and loneliness for the elderly patient,2
issues in fall prevention,issues in fall prevention,1
iv pull,iv pull,1
ivf or egg freezing can require as many as 9 or more visits to the doctor's offices,ivf or egg freezing can require as many as 9 or more visits to the doctor's offices,2
ivf or egg freezing can require as many as 9 or more visits to the doctor's offices,ivf or egg freezing processes can require as many as 9 or more visits to the doctor's offices,2
joint degeneration,joint degeneration,1
"strain on shoulders, elbows, wrists and hands","joint stress in wrists, elbows and shoulders",2
"strain on shoulders, elbows, wrists and hands","strain on shoulders, elbows, wrists and hands",2
jostling of the patient,jostling of the patient,1
knee bending,knee bending,1
known portable monitors are not specifically designed to provide an elderly/infirm individual that desires a significant degree of independence,known portable monitors are not specifically designed to provide an elderly/infirm individual that desires a significant degree of independence,1
labor intensive,labor intensive,1
labor-intensive and costly intervention programs to improve medication compliance,labor-intensive and costly intervention programs to improve medication compliance,1
lack of ability to communicate their need for help,lack of ability to communicate their need for help,1
"lack of access to news regarding commodity, weather, and political developments","lack of access to news regarding commodity, weather, and political developments",1
lack of access to transportation or a caregiver to collect their medications,lack of access to transportation or a caregiver to collect their medications,1
lack of accurate means to evaluate embryo health and quality,lack of accurate means to evaluate embryo health and quality,1
lack of adjustability,lack of adjustability,1
lack of automated messaging service to the informal caregivers,lack of automated messaging service to the informal caregivers,1
lack of balance for transfers,lack of balance for transfers,1
lack of capacity to communicate relevant information,lack of capacity to communicate relevant information,1
lack of cognitive and physical abilities,lack of cognitive and physical abilities,1
lack of compliance logging and monitoring system for routine activities,lack of compliance logging and monitoring system for routine activities,1
lack of cross talks between the uterine endometrium and the embryo,lack of cross talks between the uterine endometrium and the embryo,2
lack of cross talks between the uterine endometrium and the embryo,lack of cross talks between the uterine endometrium and the embryos,2
"lack of devices and systems that allow monitoring of a person in an accurate, convenient, unobtrusive, and socially acceptable manner","lack of devices and systems that allow monitoring of a person in an accurate, convenient, unobtrusive, and socially acceptable manner",2
"lack of devices and systems that allow monitoring of a person in an accurate, convenient, unobtrusive, and socially acceptable manner",lack of technology for unobtrusive monitoring,2
lack of digital radios,lack of digital radios,1
lack of distinct visual features,lack of distinct visual features,1
lack of facilities within the home,lack of facilities within the home,2
lack of facilities within the home,lack of facilities within the home to accommodate the reduced mobility,2
lack of indication of inappropriate persons near the person of interest,lack of indication of inappropriate persons near the person of interest,1
lack of interoperability between departments,lack of interoperability between departments,1
lack of investment sophistication,lack of investment sophistication,2
lack of investment sophistication,lack of sophistication needed to determine appropriate investment vehicles,2
lack of key components,lack of key components,1
lack of mobility further compromises their health,lack of mobility further compromises their health,1
lack of opportunities,lack of opportunities,1
lack of sufficient physical strength and stamina,lack of physical strength or flexibility,2
lack of sufficient physical strength and stamina,lack of sufficient physical strength and stamina,2
lack of proper working technique and/or equipment,lack of proper working technique and/or equipment,1
lack of real time localization,lack of real time localization,1
lack of real time remote visibility for caregivers,lack of real time remote visibility for caregivers,1
lack of recognition of food preparations,lack of recognition of food preparations,1
lack of regular interaction,lack of regular interaction,1
lack of safe driving restraints,lack of safe driving restraints,1
lack of scientific validity in brain training,lack of scientific validity in brain training,1
lack of shade,lack of shade,1
lack of skilled clinical assessment,lack of skilled clinical assessment,1
lack of solutions,lack of solutions,1
lack of standardized method of coculture,lack of standardized method of coculture,1
lack of suitable assistance,lack of suitable assistance,1
lack of support stability,lack of support stability,2
lack of support stability,unstable support handles,2
lack of traffic laws and regulations,lack of traffic awareness,2
lack of traffic laws and regulations,lack of traffic laws and regulations,2
lack of user safety,lack of user safety,1
lack of wi-fi or other network connectivity,lack of wi-fi or other network connectivity,1
lack strength in the waist and legs,lack strength in the waist and legs,2
lack strength in the waist and legs,weak leg strength,2
lack the ability to move normally,lack the ability to move normally,1
larceny,larceny,1
large,large,1
large component housings in personal impact protection systems,large component housings in personal impact protection systems,1
weak part of the clamping device,large forces on the clamping device,2
weak part of the clamping device,weak part of the clamping device,2
large number of hospitalizations,large number of hospitalizations,1
large physical and mental burdens,large physical and mental burdens,1
"large, expensive, and certainly not portable","large, expensive, and certainly not portable",1
"large, heavy, bulky, complicated, and time consuming to setup and use","large, heavy, bulky, complicated, and time consuming to setup and use",1
late admission increases the risk of hypothermia,late admission increases the risk of dehydration,4
late admission increases the risk of hypothermia,late admission increases the risk of hypothermia,4
late admission increases the risk of hypothermia,late admission increases the risk of pneumonia,4
late admission increases the risk of hypothermia,late admission increases the risk of pressure ulcers,4
leading cause of injury related death,leading cause of injury related death,1
preeclampsia,leading cause of preeclampsia,2
preeclampsia,preeclampsia,2
learning curve associated with these systems,learning curve associated with these systems,1
leaving the elderly person alone,leaving the elderly person alone,1
left unprotected in the event that they want to go out,left unprotected in the event that they want to go out,1
leg is left on the belt of the treadmill,leg is left on the belt of the treadmill,1
leg is moved backward,leg is moved backward,1
length of time spent immobile,length of time spent immobile,1
lengthy and costly treatment,lengthy and costly treatment,2
lengthy and costly treatment,treatment is expensive,2
lengthy time between the start of the medical emergency and its discovery,lengthy time between the start of the medical emergency and its discovery,1
low efficacy of ivf,less than ideal success rate of ivf/et,3
low efficacy of ivf,low efficacy of ivf,3
low efficacy of ivf,poor implantation rate of ivf embryos,3
levels of activity,levels of activity,1
life expectancy of older people continues to rise,life expectancy of older people continues to rise,1
life threatening or fatal outcomes,life threatening or fatal outcomes,2
life threatening or fatal outcomes,potentially life-threatening complications,2
lifting the weight in a difficult height and position,lifting the weight in a difficult height and position,1
lifts typically comprise a sling which may be attached to an individual,lifts typically comprise a sling which may be attached to an individual,1
"limit access of users to only places and transportation that have ramps, lifts, or elevators","limit access of users to only places and transportation that have ramps, lifts, or elevators",1
limit the suitability of use for many users,limit the suitability of use for many users,1
limitation of the current evaluation method,limitation of the current evaluation method,1
limitations of conventional imaging methods,limitations associated with conventional systems and methods,2
limitations of conventional imaging methods,limitations of conventional imaging methods,2
limitations in the ability of the individual to bend over to pick up an object,limitations in the ability of the individual to bend over to pick up an object,1
limitations of known walking rehabilitation equipment,limitations of known walking rehabilitation equipment,1
limiting registered locations for mobile devices,limitations of registered locations for mobile devices,2
limiting registered locations for mobile devices,limiting registered locations for mobile devices,2
limitations of the nurse's physical strength,limitations of the nurse's physical strength,1
limitations on a passage of the movement,limitations on a passage of the movement,1
limited ability to infer behaviors or events,limited ability to infer behaviors or events,1
limited ability to move from one location to another,limited ability to move from one location to another,1
limited number of staff members,limited assistance by personnel,2
limited number of staff members,limited number of staff members,2
require a person to be ambulatory or have a significant degree of upper body strength,limited assistance for those who have limited upper-body strength,2
require a person to be ambulatory or have a significant degree of upper body strength,require a person to be ambulatory or have a significant degree of upper body strength,2
limited balance,limited balance,1
limited collapsibility,limited collapsibility,1
limited connectivity and features,limited connectivity and features,1
limited depth knowledge about a scene,limited depth knowledge about a scene,1
limited ease of entering and exiting the bed,limited ease of entering and exiting the bed,1
limited functionality of these technologies,limited functionality of these technologies,1
limited improvements to available wheelchairs,limited improvements to available wheelchairs,2
limited improvements to available wheelchairs,limited versatility of modern “everyday” wheelchairs,2
"limited in that if a patient travels too far from the base unit, then the remote transmitter becomes out of range","limited in that if a patient travels too far from the base unit, then the remote transmitter becomes out of range",1
limited information provided by the system,limited information provided by the system,1
limited life and unknown strength condition of slings,limited life and unknown strength condition of slings,1
limited options for older adults suffering from health complications,limited options for older adults suffering from health complications,1
limited range of the remote transmitter,limited range of the remote transmitter,1
limited selection of home equipment available to the patient,limited selection of home equipment,2
limited selection of home equipment available to the patient,limited selection of home equipment available to the patient,2
limited space for the users' feet,limited space for the users' feet,1
limited success in treatment of various stressors,limited success in treatment of various stressors,1
limited to low-information streams,limited to low-information streams,1
"limited to non-ambulatory, invalid, or bed-ridden patient","limited to non-ambulatory, invalid, or bed-ridden patient",1
limited to tv-trays or smaller surfaces,limited to tv-trays or smaller surfaces,1
limited understanding in the art of basic embryo development,limited understanding in the art of basic embryo development,1
limited use in a prison setting,limited use in a prison setting,1
manual lifting and transferring of patients,limited use of only lifting and lowering patients,3
manual lifting and transferring of patients,manual lifting and transferring of patients,3
manual lifting and transferring of patients,manually lifting the patient,3
limited use of the lower extremities,limited use of the lower extremities,2
limited use of the lower extremities,little or no lower limb mobility,2
limited use to protect victims of domestic violence,limited use to protect victims of domestic violence,1
limited user actions,limited user actions,1
limits monitoring to just the instrumented areas,limits monitoring to just the instrumented areas,1
"limits their use to large, unobstructed spaces","limits their use to large, unobstructed spaces",1
limp,limp,1
little assistance for the ‘home patient’ in managing multiple prescriptions,little assistance for the ‘home patient’ in managing multiple prescriptions,1
little or no added support,little or no added support,1
live-in care may be undesirable and invasive,live-in care may be undesirable and invasive,1
load off a patient's feet,load off a patient's feet,1
loading the medications into the equipment,loading the medications into the equipment,1
locating an emergency caller,locating an emergency caller,1
locked knee joint,locked knee joint,1
lonely and disabled existence,lonely and disabled existence,1
long term conditions such as depression or dementia,long term conditions such as depression or dementia,1
long term usage of wearable might lead to user skin irritations,long term usage of wearable devices might lead to user skin irritations,2
long term usage of wearable might lead to user skin irritations,long term usage of wearable might lead to user skin irritations,2
long time periods to conception,long time periods to conception,1
long treatment period until the suppression and down-regulation occur,long treatment period until the suppression and down-regulation occur,1
the longer a person spends helpless,longer a person had to spend injured and without help,2
the longer a person spends helpless,the longer a person spends helpless,2
longer a person spends in a helpless situation,longer a person spends in a helpless situation,2
longer a person spends in a helpless situation,the longer a person spends in a helpless situation,2
longer life spans,longer life spans,1
losing control of the device,losing control of the device,1
loss of a phone,loss of a phone,1
loss of a vulnerable individual's independence and privacy,loss of a vulnerable individual's independence and privacy,1
loss of amino acids,loss of amino acids,1
loss of appetite,loss of appetite,1
loss of balance,loss of balance,2
loss of balance,loss of coordination,2
loss of employer-funded benefits,loss of employer-funded benefits,2
loss of employer-funded benefits,loss of employer-funded retirement benefits,2
loss of integrated central nervous system functions,loss of integrated central nervous system functions,1
loss of life as a result of drug complications or mistakes,loss of life as a result of drug complications or mistakes,1
"loss of limb strength, flexibility, sensitivity or range of motion","loss of limb strength, flexibility, sensitivity or range of motion",1
loss of smell,loss of smell,1
loss of stability,loss of stability,1
loss of strength in the lower limbs,loss of strength in the lower limbs,2
loss of strength in the lower limbs,weakening of the lower extremities,2
loss of work,loss of wages,2
loss of work,loss of work,2
low birth rate,low birth rate,1
low birth weight in infants,low birth weight,2
low birth weight in infants,low birth weight in infants,2
low success rate of pregnancy,low chance of success of becoming pregnant using art,3
low success rate of pregnancy,low success rate of pregnancy,3
low success rate of pregnancy,poor chances for successful pregnancy,3
low conception rates,low conception rates,1
low demand for autonomous vehicle usage,low demand for autonomous vehicle usage,1
low emergency response capability,low emergency response capability,1
low implantation success rate,low implantation rate per transferred embryos,6
low implantation success rate,low implantation rates,6
low implantation success rate,low implantation success rate,6
low implantation success rate,low success rate of pregnancy by blastocyst transfer,6
low implantation success rate,lower implantation rates,6
low implantation success rate,more than 8 out of 10 transferred embryos fail to implant,6
low lh levels,low lh levels,1
low oxygen saturation in the blood,low oxygen saturation in the blood,1
low pregnancy and birth rates following in vitro fertilization (ivf) attempts,low pregnancy and birth rates following in vitro fertilization (ivf) attempts,1
low pregnancy rates with gnrh antagonists,low pregnancy rates with gnrh antagonists,1
low probability of an incident,low probability of an incident,1
low sensitivity for such known systems,low sensitivity for known systems,2
low sensitivity for such known systems,low sensitivity for such known systems,2
low success rates of human fertility treatments,low success rates of human fertility treatments,1
lower chance of successful implantation,lower chance of successful implantation,1
lower confidence,lower confidence,1
lower leg injuries,lower leg injuries,1
lumbago,lumbago,1
machines benefit from being capable of being located indoors,machines benefit from being capable of being located indoors,1
problems facing the geriatric population,major health problems in elderly populations,2
problems facing the geriatric population,problems facing the geriatric population,2
risks for depression,major risks for depression,2
risks for depression,risks for depression,2
management of traffic regulation systems in urban areas,management of traffic regulation systems in urban areas,1
manual methods of summoning aid,manual methods of summoning aid,1
"manual moving, lifting, and/or rolling of the patient","manual moving, lifting, and/or rolling of the patient",3
"manual moving, lifting, and/or rolling of the patient",physically lifting the patient,3
"manual moving, lifting, and/or rolling of the patient",strenuous task of moving a patient horizontally between two supporting surfaces,3
manually activated systems,manually activated systems,1
many at-home falls occur in tight quarters,many at-home falls occur in tight quarters,1
many existing systems use broadband light and require very expensive lens assemblies to form color corrected images,many existing systems use broadband light and require very expensive lens assemblies to form color corrected images,1
many more emergency or potential emergency situations that do not involve a fall event,many more emergency or potential emergency situations that do not involve a fall event,1
many people living alone are either too healthy to transition to an assisted care facility or lack the financial resources,many people living alone are either too healthy to transition to an assisted care facility or lack the financial resources,1
material ages with time,material ages with time,2
material ages with time,material ages with time and its ability to carry a load deteriorates,2
maternal and perinatal risks,maternal and perinatal risks,1
maximal reliability,maximal reliability,1
stress and/or injury to the user,may cause stress and/or injury to the user,2
stress and/or injury to the user,stress and/or injury to the user,2
may not be discovered in a timely manner,may not be discovered in a timely manner,3
may not be discovered in a timely manner,may not be found quickly,3
may not be discovered in a timely manner,significant amounts of time may elapse before they are discovered,3
may require help at certain times,may require help at certain times,2
may require help at certain times,require more assistance from another person or caregiver,2
measuring ecg is inconvenient for long-term monitoring,measuring ecg is inconvenient for long-term monitoring,1
measuring physical activity may be challenging,measuring physical activity may be challenging,1
mechanical transfer devices require considerable strength to manually operate,mechanical transfer devices require considerable strength to manually operate,1
medical and physical infirmities,medical and physical infirmities,1
medical emergency such as a heart attack or a fall,medical emergency such as a heart attack or a fall,1
medical necessities,medical necessities,1
medication noncompliance,medical non-compliance problem,4
medication noncompliance,medication compliance,4
medication noncompliance,medication noncompliance,4
medication noncompliance,non-compliance,4
medical precautions and contraindications,medical precautions and contraindications,1
medical situation,medical situation,1
medication adherence management,medication adherence,2
medication adherence management,medication adherence management,2
misusing the medications,medication mismanagement,2
misusing the medications,misusing the medications,2
medication side effects,medication side effects,1
medications are sensitive to certain environmental conditions,medications are sensitive to certain environmental conditions,2
medications are sensitive to certain environmental conditions,over-exposure to these environmental conditions can reduce the potency or efficacy of the medications,2
memory loss increasing with age,memory loss increasing with age,1
menopause,menopause,1
middlemen taking advantage of the farmers lack of access to information,middlemen taking advantage of farmers lack of access to information,2
middlemen taking advantage of the farmers lack of access to information,middlemen taking advantage of the farmers lack of access to information,2
minimal or nonexistent monitoring equipment at home care facilities,minimal or nonexistent monitoring equipment,4
minimal or nonexistent monitoring equipment at home care facilities,minimal or nonexistent monitoring equipment at home care facilities,4
minimal or nonexistent monitoring equipment at home care facilities,monitoring equipment at home care facilities is usually minimal or nonexistent,4
minimal or nonexistent monitoring equipment at home care facilities,no facilities for continuous monitoring,4
minimal or substantially no human input,minimal or substantially no human input,1
minimum amount of wear time is required for valid assessment of physical activity,minimum amount of wear time is required for valid assessment of physical activity,1
misbehavior of road users,misbehavior of road users,1
misrouted emergency calls,misrouted emergency calls,1
missing and/or false cell boundaries,missing and/or false cell boundaries,1
mistreatment of a person in care,mistreatment of a person in care,1
mixing drugs that result in negative outcomes,mixing drugs that result in negative outcomes,1
mobile phone lying in a ladies handbag is so useless for triggering an alarm,mobile phone lying in a ladies handbag is so useless for triggering an alarm,1
mobility,mobility,2
mobility,problems of mobility,2
mobility for seniors and patients suffering from lower extremity injuries,mobility for seniors and patients suffering from lower extremity injuries,1
mobility problems in the elderly,mobility problems in the elderly,1
mobility restricting girt,mobility restricting girt,1
physically challenged individuals,mobility-impaired individuals,2
physically challenged individuals,physically challenged individuals,2
moderate to severe injuries,moderate to severe injuries,1
monetary costs,monetary costs,1
monitoring in-home patient physical activity,monitoring and evaluating physical activity patterns,2
monitoring in-home patient physical activity,monitoring in-home patient physical activity,2
monitoring the condition of elderly people in a home environment,monitoring elders,3
monitoring the condition of elderly people in a home environment,monitoring the condition of elderly people in a home environment,3
monitoring the condition of elderly people in a home environment,monitoring the movements of the elderly and persons with medical conditions,3
"monitoring emergency, alarm, climate, or other conditions","monitoring emergency, alarm, climate, or other conditions",1
monitoring of individuals,monitoring of individuals,1
monitoring persons in rooms of a caretaking institution,monitoring persons in rooms of a caretaking institution,1
monitoring systems of the type used for elderly clients or other challenged clients,monitoring systems of the type used for elderly clients or other challenged clients,2
monitoring systems of the type used for elderly clients or other challenged clients,need for improved systems and methods for monitoring the activities and wellbeing of elderly individuals,2
"trauma, severe and irreversible health damage, or even death",more serious damage or even death,2
